Lookout
Dag	P	T	Q
520823	0	21.7408469942222	0.666321439955143
520824	0	16.1852914386667	0.666321439955143
520825	0	14.6	0.666321439955143
520826	0	13.15	0.666321439955143
520827	0	13.8	0.666321439955143
520828	0	16.4	0.627126061134252
520829	0	15.05	0.627126061134252
520830	0	15.9075136608889	0.627126061134252
520831	0	15.85	0.587930682313361
520901	0	19	0.587930682313361
520902	0	20.3	0.627126061134252
520903	0	20.15	0.587930682313361
520904	0	16.25	0.587930682313361
520905	0	15.15	0.666321439955143
520906	0	15.8868648267778	0.627126061134252
520907	0	13.6646426045556	0.627126061134252
520908	20.16252	8.85	0.823102955238706
520909	12.48156	11.25	0.940689091701378
520910	0	11.5	0.744712197596924
520911	0	11.85	0.705516818776033
520912	0.64008	13.6646426045556	0.705516818776033
520913	0	12	0.666321439955143
520914	0	14.6	0.627126061134252
520915	0	15.8868648267778	0.627126061134252
520916	0	15.6	0.627126061134252
520917	0	17.7	0.587930682313361
520918	0	18.5	0.587930682313361
520919	0	20.05	0.587930682313361
520920	0	18.3	0.54873530349247
520921	0	17.8	0.54873530349247
520922	0	18.3	0.54873530349247
520923	0	17.65	0.54873530349247
520924	0	18.65	0.54873530349247
520925	0	20.45	0.54873530349247
520926	0	15.75	0.50953992467158
520927	0	11	0.50953992467158
520928	0	12.05	0.470344545850689
520929	0	13	0.470344545850689
520930	0	14.3	0.470344545850689
521001	0	18	0.391953788208907
521002	0	16.9	0.391953788208907
521003	0	16.1	0.391953788208907
521004	0	14.4	0.391953788208907
521005	0	16.7	0.352758409388017
521006	0	17.75	0.352758409388017
521007	0	14.55	0.352758409388017
521008	0	13.35	0.352758409388017
521009	0	13.3	0.352758409388017
521010	0	13.9	0.352758409388017
521011	0	13.8	0.352758409388017
521012	0	13.8	0.352758409388017
521013	0	12.25	0.352758409388017
521014	0	12.4	0.352758409388017
521015	0	12.55	0.352758409388017
521016	0	12.55	0.352758409388017
521017	0	14.9	0.313563030567126
521018	0	10.85	0.313563030567126
521019	0	13.75	0.313563030567126
521020	0	13.4	0.313563030567126
521021	0	11.65	0.313563030567126
521022	0	10.9	0.313563030567126
521023	0	8	0.313563030567126
521024	3.2004	10.25	0.352758409388017
521025	0	9.9	0.352758409388017
521026	0	7.8	0.352758409388017
521027	0	9.4	0.313563030567126
521028	0	7.55	0.313563030567126
521029	0	6.05	0.313563030567126
